link,url,latitude,longitude,isNotObservatory,Type
Chico Community Observatory,/wiki/Chico_Community_Observatory,39.771171,-121.782745,FALSE,Visible
"Chico, California","/wiki/Chico,_California",39.74,-121.83556,TRUE,
Cincinnati Observatory,/wiki/Cincinnati_Observatory,39.139,-84.423,FALSE,Visible
"Cincinnati, Ohio","/wiki/Cincinnati,_Ohio",39.1,-84.517,TRUE,
"City Observatory, Edinburgh","/wiki/City_Observatory,_Edinburgh",55.95472,-3.18333,FALSE,Visible
Clarke Observatory,/wiki/Clarke_Observatory,40.9039,-81.10637,FALSE,Visible
Class of 1951 Observatory,/wiki/Class_of_1951_Observatory,41.683011,-73.890604,FALSE,Visible
"Poughkeepsie, New York","/wiki/Poughkeepsie_(town),_New_York",41.67111,-73.90694,TRUE,
Cloudcroft Observatory,/wiki/Cloudcroft_Observatory,32.9795,-105.7336,FALSE,Visible
New Mexico,/wiki/New_Mexico,34,-106,TRUE,
Paisley,"/wiki/Paisley,_Renfrewshire",55.846627,-4.423636,FALSE,Visible
Coit Observatory,/wiki/Coit_Observatory,42.35025,-71.1053722,FALSE,Visible
Collins Observatory,/wiki/Collins_Observatory,42.11803,-77.07768,FALSE,Visible
Colombo University Observatory,/wiki/Colombo_University_Observatory,6.90143,79.86139,FALSE,Visible
ÇOMÜ Ulupinar Observatory,/wiki/%C3%87OM%C3%9C_Ulup%C4%B1nar_Observatory,40.09917,26.47472,FALSE,Visible
Concordia College Observatory,/wiki/Concordia_College_Observatory,46.86528,-96.77,FALSE,Visible
Consell Observatory,/wiki/Consell_Observatory,39.65361,2.8225,FALSE,Visible
Copenhagen University Observatory,/wiki/Copenhagen_University_Observatory,55.686883,12.575919,FALSE,Visible
Copenhagen,/wiki/Copenhagen,55.67611,12.56833,TRUE,
Cordell–Lorenz Observatory,/wiki/Cordell%E2%80%93Lorenz_Observatory,35.20444,-85.92,FALSE,Visible
Llano de Chajnantor Observatory,/wiki/Llano_de_Chajnantor_Observatory,-23.0228,-67.755,FALSE,Visible
Chile,/wiki/Chile,-30,-71,TRUE,
Côte d'Azur Observatory,/wiki/C%C3%B4te_d%27Azur_Observatory,43.72333,7.30167,FALSE,Visible
Crane Observatory,/wiki/Crane_Observatory,39.035972,-95.698889,FALSE,Visible
Crawford Observatory,/wiki/Crawford_Observatory,51.89253,-8.49229,FALSE,Visible
Creighton University Observatory,/wiki/Creighton_University_Observatory,41.266098,-95.9474391,FALSE,Visible
Crimean Astrophysical Observatory,/wiki/Crimean_Astrophysical_Observatory,44.72667,34.015861,FALSE,Visible
Nauchnyj,/wiki/Nauchnyj,44.72667,34.015861,TRUE,
Crni Vrh Observatory,/wiki/%C4%8Crni_Vrh_Observatory,45.94667,14.07361,FALSE,Visible
Idrija,/wiki/Idrija,46.0013167,14.0221083,TRUE,
Cupillari Observatory,/wiki/Cupillari_Observatory,41.5965,-75.678,FALSE,Visible
Custer Observatory,/wiki/Custer_Observatory,41.0519,-72.4345,FALSE,Visible
David Dunlap Observatory,/wiki/David_Dunlap_Observatory,43.86222,-79.4225,FALSE,Visible
Daniel S. Schanck Observatory,/wiki/Daniel_S._Schanck_Observatory,40.499361,-74.44528,FALSE,Visible
Rutgers University,/wiki/Rutgers_University,40.50167,-74.44806,FALSE,Visible
Dark Sky Observatory,/wiki/Dark_Sky_Observatory,36.2514,-81.4121,FALSE,Visible
Darling's Observatory,/wiki/Darling%27s_Observatory,46.77972,-92.11306,FALSE,Visible
"Duluth, Minnesota","/wiki/Duluth,_Minnesota",46.7869389,-92.098194,TRUE,
Dearborn Observatory,/wiki/Dearborn_Observatory,42.0567,-87.675,FALSE,Visible
Detroit Observatory,/wiki/Detroit_Observatory,42.28167,-83.73167,FALSE,Visible
David Dunlap Observatory,/wiki/David_Dunlap_Observatory,43.86222,-79.4225,FALSE,Visible
"Richmond Hill, Ontario","/wiki/Richmond_Hill,_Ontario",43.867,-79.433,TRUE,
Dome C,/wiki/Dome_C,-75.1,123.35,FALSE,Visible
Antarctica,/wiki/Antarctica,-69.35778,-2.24722,TRUE,
Dominion Observatory,/wiki/Dominion_Observatory,45.393591,-75.714329,FALSE,Visible
Dominion Astrophysical Observatory,/wiki/Dominion_Astrophysical_Observatory,48.520286,-123.418147,FALSE,Visible
"Saanich, British Columbia","/wiki/Saanich,_British_Columbia",48.484,-123.381,TRUE,
Dominion Radio Astrophysical Observatory,/wiki/Dominion_Radio_Astrophysical_Observatory,49.321,-119.624,FALSE,Radio
Okanagan Falls,/wiki/Okanagan_Falls,49.35,-119.56667,TRUE,
Dunsink Observatory,/wiki/Dunsink_Observatory,53.387056,-6.337547,FALSE,Visible
Dyer Observatory,/wiki/Dyer_Observatory,36.05222,-86.805,FALSE,Visible
Effelsberg 100-m Radio Telescope,/wiki/Effelsberg_100-m_Radio_Telescope,50.5247,6.8828,FALSE,Radio
Effelsberg 100-m Radio Telescope,/wiki/Effelsberg_100-m_Radio_Telescope,50.5247,6.8828,TRUE,
Ege University Observatory,/wiki/Ege_University_Observatory,38.39833,27.26833,FALSE,Visible
